cpd_id,master_cpd_id,cpd_name,broad_cpd_id,top_test_conc_umol,cpd_status,inclusion_rationale,gene_symbol_of_protein_target,target_or_activity_of_compound,source_name,source_catalog_id,cpd_smiles
TRAMETINIB,687418,TRAMETINIB,BRD-K12343256,66.0,clinical,CTEP;kinome,MAP2K1;MAP2K2,inhibitor of MEK1 and MEK2,Selleck,S2673,CC(=O)Nc1cccc(c1)-n1c2c(C)c(=O)n(C)c(Nc3ccc(I)cc3F)c2c(=O)n(C2CC2)c1=O
TRETINOIN,23151,TRETINOIN,BRD-K64634304,130.0,FDA,chromatin;pilot-set,RARA;RARB;RARG,agonist of retinoid acid receptors,Sigma-Aldrich;Sigma-Aldrich,R2625;R2625-50MG,CC(=CC=CC(=CC(=O)O)C)C=CC1=C(C)CCCC1(C)C
TRETINOIN:CARBOPLATIN (2:1 MOL/MOL),660181,TRETINOIN:CARBOPLATIN (2:1 MOL/MOL),BRD-M31706333,100.0,probe,combination,RARA;RARB;RARG,agonist of retinoid acid receptors;inducer of DNA damage,,,O=C1O[Pt]OC(=O)C11CCC1.CC(\C=C\C=C(C)\C=C\C1=C(C)CCCC1(C)C)=C/CO
TRETINOIN:NAVITOCLAX (4:1 MOL/MOL),660179,TRETINOIN:NAVITOCLAX (4:1 MOL/MOL),BRD-M74379094,83.0,probe,combination,RARA;RARB;RARG;BCL2;BCL2L1;BCL2L2,"agonist of retinoid acid receptors;inhibitor of BCL2, BCL-xL, and BCL-W",,,CC(=C/CO)\C=C\C=C(C)\C=C\C1=C(C)CCCC1(C)C.CC1(C)CCC(=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN3CCOCC3)CSc3ccccc3)c(c2)S(=O)(=O)C(F)(F)F)C1)c1ccc(Cl)cc1
TRIAZOLOTHIADIAZINE,385240,TRIAZOLOTHIADIAZINE,BRD-K05402890,66.0,probe,pilot-set,PDE4A;PDE4B;PDE4D,inhibitor of phosphdiesterase 4A/B/D,WuXi AppTec,TH02420-017,COc1ccc(OC)c(c1)-c1nnc2SCC(=Nn12)c1ccc(OC)c(OC)c1
TRIFLUOPERAZINE,26914,TRIFLUOPERAZINE,BRD-K89732114,33.0,FDA,pilot-set,DRD2,antagonist of dopamine receptor D2,Toronto Research Chemicals,T779200,CN1CCN(CCCN2c3ccccc3Sc3ccc(cc23)C(F)(F)F)CC1
TRIPTOLIDE,411720,TRIPTOLIDE,BRD-A13122391,0.3,clinical,pilot-set,,natural product; inhibitor of RNA polymerase II,Sigma-Aldrich,T3652,CC(C)[C@]12O[C@H]1[C@@H]1O[C@]11[C@]3(O[C@H]3CC3C4=C(CC[C@]13C)C(=O)OC4)[C@@H]2O
TUBASTATIN A,411749,TUBASTATIN A,BRD-K00627859,33.0,probe,chromatin;pilot-set,HDAC6,inhibitor of tubulin deacetylase activity of HDAC6,Stanley Center for Psychiatric Research at the Broad Institute,,CN1CCc2c(C1)c1ccccc1n2Cc1ccc(cc1)C(=O)NO
TW-37,609596,TW-37,BRD-K28360340,33.0,probe,pilot-set,BCL2;BCL2L1,inhibitor of BCL2 and BCL-xL,Tocris Bioscience,4038,CC(C)c1ccccc1Cc1cc(C(=O)Nc2ccc(cc2)S(=O)(=O)c2ccccc2C(C)(C)C)c(O)c(O)c1O
UNC0321,635576,UNC0321,BRD-K74236984,33.0,probe,chromatin;pilot-set,EHMT2,inhibitor of G9a histone methyltransferase,Cayman,10582,COc1cc2c(NC3CCN(C)CC3)nc(nc2cc1OCCOCCN(C)C)N1CCCN(C)CC1
UNC0638,594665,UNC0638,BRD-K86856088,33.0,probe,chromatin;lit-search;pilot-set,EHMT1;EHMT2,inhibitor of EHMT2 and GLP methyltransferase,Tocris Bioscience,4343,COc1cc2c(NC3CCN(CC3)C(C)C)nc(nc2cc1OCCCN1CCCC1)C1CCCCC1
UNC0638:NAVITOCLAX (1:1 MOL/MOL),660270,UNC0638:NAVITOCLAX (1:1 MOL/MOL),BRD-M97749165,33.0,probe,combination,EHMT1;EHMT2;BCL2;BCL2L1;BCL2L2,"inhibitor of EHMT2 and GLP methyltransferase;inhibitor of BCL2, BCL-xL, and BCL-W",,,COc1cc2c(NC3CCN(CC3)C(C)C)nc(nc2cc1OCCCN1CCCC1)C1CCCCC1.CC1(C)CCC(=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN3CCOCC3)CSc3ccccc3)c(c2)S(=O)(=O)C(F)(F)F)C1)c1ccc(Cl)cc1
VAF-347,659226,VAF-347,BRD-K96335988,66.0,probe,lit-search;synthesis,AHR,inhibitor of aryl hydrocarbon receptor,Broad Institute of MIT and Harvard,,FC(F)(F)c1ccc(Nc2nccc(n2)-c2cccc(Cl)c2)cc1
VALDECOXIB,32372,VALDECOXIB,BRD-K12994359,600.0,FDA,pilot-set,PTGS2,inhibitor of cyclooxygenase-2 (COX2),Sigma-Aldrich;Sigma-Aldrich,PA0179;PZ0179,Cc1onc(c1-c1ccc(cc1)S(N)(=O)=O)-c1ccccc1
VANDETANIB,349002,VANDETANIB,BRD-K77625799,66.0,FDA,kinome;std-of-care,EGFR;KDR,inhibitor of VEGFR2 and EGFR,Selleck,S1046,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC1CCN(C)CC1
VELIPARIB,606034,VELIPARIB,BRD-K87142802,33.0,clinical,chromatin;CTEP;pilot-set,PARP1;PARP2,inhibitor of poly (ADP-ribose) polymerase 1 (PARP1) and 2 (PARP2),Selleck,S1004,C[C@@]1(CCCN1)c1nc2c(cccc2[nH]1)C(N)=O
VER-155008,411815,VER-155008,BRD-K32330832,37.0,probe,pilot-set,HSPA1A;HSPA1B;HSPA1L,inhibitor of HSP70,WuXi AppTec,TH02357-035,Nc1ncnc2n([C@@H]3O[C@H](COCc4ccc(cc4)C#N)[C@@H](O)[C@H]3O)c(NCc3ccc(Cl)c(Cl)c3)nc12
VINCRISTINE,62602,VINCRISTINE,BRD-K82109576,130.0,FDA,std-of-care,,inhibitor of mictrotubule assembly,Selleck,S1241,CC[C@]1(O)C[C@@H]2CN(C1)CCc1c([nH]c3ccccc13)[C@@](C2)(C(=O)OC)c1cc2c(cc1OC)N(C=O)[C@@H]1[C@]22CCN3CC=C[C@](CC)([C@@H]23)[C@@H](OC(C)=O)[C@]1(O)C(=O)OC
VORAPAXAR,660136,VORAPAXAR,BRD-K93442924,66.0,clinical,lit-search,F2R,antagonist of proteinase-activated receptor 1 (PAR1),Axon Medchem,1755,CCOC(=O)N[C@@H]1CC[C@@H]2[C@H](C[C@@H]3[C@@H]([C@@H](C)OC3=O)[C@H]2\C=C\c2ccc(cn2)-c2cccc(F)c2)C1
VORINOSTAT,56554,VORINOSTAT,BRD-K81418486,33.0,FDA,chromatin;CTEP;pilot-set;std-of-care,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8",Toronto Research Chemicals,S688700,ONC(=O)CCCCCCC(=O)Nc1ccccc1
VORINOSTAT:CARBOPLATIN (1:1 MOL/MOL),660131,VORINOSTAT:CARBOPLATIN (1:1 MOL/MOL),BRD-M09269305,66.0,probe,combination,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8;inducer of DNA damage",,,O=C1O[Pt]OC(=O)C11CCC1.ONC(=O)CCCCCCC(=O)Nc1ccccc1
VORINOSTAT:NAVITOCLAX (4:1 MOL/MOL),660301,VORINOSTAT:NAVITOCLAX (4:1 MOL/MOL),BRD-M23798888,33.0,probe,combination,HDAC1;HDAC2;HDAC3;HDAC6;HDAC8;BCL2;BCL2L1;BCL2L2,"inhibitor of HDAC1, HDAC2, HDAC3, HDAC6, and HDAC8;inhibitor of BCL2, BCL-xL, and BCL-W",,,ONC(=O)CCCCCCC(=O)Nc1ccccc1.CC1(C)CCC(=C(CN2CCN(CC2)c2ccc(cc2)C(=O)NS(=O)(=O)c2ccc(N[C@H](CCN3CCOCC3)CSc3ccccc3)c(c2)S(=O)(=O)C(F)(F)F)C1)c1ccc(Cl)cc1
VU0155056,660119,VU0155056,BRD-K31406481,66.0,probe,lit-search,PLD1;PLD2,inhibitor of phospholipase D1/D2,"Avanti Polar Lipids, Inc.",857370P,O=C(NCCN1CCC(CC1)n1c2ccccc2[nH]c1=O)c1ccc2ccccc2c1
VX-680,340501,VX-680,BRD-K59369769,66.0,clinical,pilot-set,AURKA;AURKB;AURKC,inhibitor of aurora kinases,Selleck,S1048,CN1CCN(CC1)c1cc(Nc2cc(C)[nH]n2)nc(Sc2ccc(NC(=O)C3CC3)cc2)n1
WAY-362450,660821,WAY-362450,BRD-K54640016,66.0,probe,chromatin;lit-search,NR1H4,agonist of farnesoid X receptor,Axon Medchem,1749,CC(C)OC(=O)C1=CN(CC(C)(C)c2c1[nH]c1ccccc21)C(=O)c1ccc(F)c(F)c1
WP1130,660432,WP1130,BRD-K43644456,66.0,probe,lit-search,UCHL5;USP14;USP5;USP9X,"inhibitor of the deubiquitinase activity of USP9X, USP5, USP14, and UCH37",Selleck,S2243,CCC[C@H](NC(=O)C(=C\c1cccc(Br)n1)\C#N)c1ccccc1
WZ4002,640366,WZ4002,BRD-K72420232,33.0,probe,kinome,EGFR,inhibitor of EGFR targeting T790M resistance,Selleck,S1173,COc1cc(ccc1Nc1ncc(Cl)c(Oc2cccc(NC(=O)C=C)c2)n1)N1CCN(C)CC1
WZ8040,628614,WZ8040,BRD-K81728688,66.0,probe,kinome,EGFR,inhibitor of EGFR targeting T790M resistance,Selleck,S1179,CN1CCN(CC1)c1ccc(Nc2ncc(Cl)c(Sc3cccc(NC(=O)C=C)c3)n2)cc1
XL765,660304,XL765,BRD-K75308783,66.0,clinical,kinome,MTOR;PIK3CA;PIK3CB;PIK3CD;PIK3CG;PRKDC,inhibitor of mTOR and PI3K kinase acitivities,Selleck,S1523,COc1cc(Nc2nc3ccccc3nc2NS(=O)(=O)c2ccc(NC(=O)c3ccc(C)c(OC)c3)cc2)cc(OC)c1
YK 4-279,632103,YK 4-279,BRD-A62182663,33.0,probe,chromatin;pilot-set,DHX9;ERG;ETV1,inhibitor of RNA helicase A (RHA) binding to EWS-FLI1; inhibitor of ERG and ETV1 activity,Tocris Bioscience,4067,COc1ccc(cc1)C(=O)CC1(O)C(=O)Nc2c1c(Cl)ccc2Cl
YL54,651298,YL54,BRD-K58306044,66.0,probe,outreach,,stapled helical peptide,Harvard University,,CC[C@H](C)[C@H](NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CCCNC(N)=N)NC(=O)CCNC(C)=O)C(=O)N[C@]1(C)CCC\C=C/CCC[C@@](C)(NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC1=O)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CCCNC(N)=N)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCCNC(N)=N)C(O)=O
YM-155,417979,YM-155,BRD-K76703230,1.0,clinical,pilot-set,BIRC5,inhibitor of survivin expression,Active Biochem,A-1061,COCCn1c2c(C(=O)c3ccccc3C2=O)[n+](Cc2cnccn2)c1C
ZEBULARINE,411739,ZEBULARINE,BRD-A01145011,590.0,probe,chromatin;pilot-set,DNMT1,inhibitor of DNA methyltransferases,Tocris Bioscience,2293,OC[C@H]1O[C@H](C(O)[C@H]1O)n1cccnc1=O
ZSTK474,606144,ZSTK474,BRD-K63068307,66.0,clinical,kinome,PIK3CB;PIK3CD;PIK3CG,"inhibitor of PI3K catalytic subunits beta, delta, and gamma",Selleck,S1072,FC(F)c1nc2ccccc2n1-c1nc(nc(n1)N1CCOCC1)N1CCOCC1
